1200430302918660096,beingdalit87,"RT @JhaSanjay: She cursed slain martyr Hemant Karkare. 
BJP is quiet. 

She called Pandit Nehru a criminal. 
BJP is quiet.

She calls #Gand…",-0.13333333333333333
1200430335286099968,iamamity007,"RT @JaiveerShergill: If you compare #BJP rising fortunes of being highest recipient of corporate donations touching ₹ 1000 crores , ₹1100 c…",0.25
1200430345205628928,joshivikrant75,"OMG! Nawab bhai, what a lovely company Sena has now, M sure there is not a single NCP leader without a police case… https://t.co/W99XLdT2eP",0.3452380952380953
1200430363857678337,RUPRAMPARIHAAR1,"RT @JaiveerShergill: If you compare #BJP rising fortunes of being highest recipient of corporate donations touching ₹ 1000 crores , ₹1100 c…",0.25
1200430407046647808,narangashok50,"Wow!! What a statement by BJPIG?
You must be proud to hv your friends to openly appreciate the murdere of Mahatma G… https://t.co/ZdQYRxJyah",0.3
1200430409110048774,Jai9840,"RT @JhaSanjay: She cursed slain martyr Hemant Karkare. 
BJP is quiet. 

She called Pandit Nehru a criminal. 
BJP is quiet.

She calls #Gand…",-0.13333333333333333
1200430422770929670,JaisonPhilip14,"RT @JhaSanjay: She cursed slain martyr Hemant Karkare. 
BJP is quiet. 

She called Pandit Nehru a criminal. 
BJP is quiet.

She calls #Gand…",-0.13333333333333333
1200430531277553664,AnanyaMeraki,"RT @JhaSanjay: She cursed slain martyr Hemant Karkare. 
BJP is quiet. 

She called Pandit Nehru a criminal. 
BJP is quiet.

She calls #Gand…",-0.13333333333333333
1200430622969401344,KudupudiShankar,#savemetrodavemumbai this govt is punishing the people of Mumbai for supporting #BJP,0.25
1200430626685349889,BJPBalochistan,"RT @vanitajain21: #NCPDrama
@AjitPawarSpeaks goes missing again. 😁😁
Search is on !
#NCP in for another High tension drama. 

#JustAsking 
W…",-0.020000000000000004
1200430701000085505,KiritiKiriti1,RT @kaushalmanda: When BJP high command invited me to join in #BJP i felt so hounoured &amp; grateful and said yes because  modi ji's incredibl…,0.16
1200430844822900736,CaptAKJ,"Rmmbr ""Osama jee""? That was from a veteran.
Having bn punished, #PragyaThakur wl learn. Tell us what did Congress d… https://t.co/BjPSOoZfCi",0.0
1200430968022040577,a09ea2180ded422,"This #Maharashtra government of three political parties is a ....
#Throuple  !",0.0
1200430974250545155,abhasjain,"RT @JhaSanjay: She cursed slain martyr Hemant Karkare. 
BJP is quiet. 

She called Pandit Nehru a criminal. 
BJP is quiet.

She calls #Gand…",-0.13333333333333333
1200460877557727232,akshay_kate243,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200465447931523078,Yatendr76304127,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200465470056366081,AdysDady,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200465498908938240,AdityaAD,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200465675728211968,vishal_svt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200465710683570176,AzadParindeJSR,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200465715628630016,i_theindian,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200465938958565376,rswapnil3,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200466116448964609,Gambhir32209163,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200466175433396224,ShivRajMathur1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200466254466879488,m_shaikh86,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
1200466706100998144,varshasaini1998,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
1200466768323436544,harshra57474714,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200466862322135044,Onlyesskay,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
1200466893787684864,afzaalahmadans9,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200466908467752960,OmkarJagannath,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200466988457291777,Sec396397,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200467101862920193,BhimSinghINC,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200467128710828032,GatuPatel10,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200467350148927488,shekhzaheer44,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200467432021692416,MangoPe77236204,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200467443086319616,c0mman,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
1200467459448418305,RajaniKdr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
1200467493686431744,dhasgk,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
1200467616378183681,iammsk,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200467621356793856,Ramsewak,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
1200467669020839936,HydWatch,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200467678760251394,CityBos13222090,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200467739061522432,HRITHIKSAINI1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200467820959563776,prajapatidili17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200467930938531840,omprakashnaman,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
1200468099167748096,sunnykothiya95,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200468160064847873,imTej02,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200468360548372480,RustamMalik18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200468463791362048,shvetanksaxena,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
1200468531378376704,GanasvaM,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200468619873767425,i_am_IBBU,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200468648424460288,KabakV,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200468755815395328,parvtyagi07,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200468830985678848,Anilharan3,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
1200468836085952512,aghormaya,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200468837830803457,90_Fury,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200468967850049536,sandeshk16,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200469132388585472,Kloptimistic,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200469164621565953,Nidhik20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
1200469188701089792,Aravind10322577,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200469212029784065,VVasanti,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200469238416396288,omprakashnaman,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
1200469373825105921,nivas999999,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200469442985000960,babinpolitic,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
1200469452623466496,navodit29,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200469466561183744,UmerFarooq1159,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
1200469535872077824,girish_joshig,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200469642902306817,ajaychat55,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200469652071211009,blackghost_vs,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200469653782437888,Prashan48196003,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200469811035279360,SHOUKATBUTT11,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200469975267328000,Sunil85858,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200470098391093248,amitavamisra,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200470161079144448,Ubairkhan81,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200470263734792192,sunilkumar5956,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200470463362658304,MurthyNagadi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200470560158863360,katy1949,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200470724613308416,ChhotaPappu1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200470918666932225,ethicalman3,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200471042910642176,abhishek_ron,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
1200471413695533056,the_amarjsurin,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",en
1200471424730710016,shahrukhashraf1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200471524114747392,SunilKa69731933,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200471584370151424,stanley_47,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200471901446918145,NafilaIN,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200471926583349249,apdufil,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
1200471940076462080,ThePMOIndia,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200472031474544640,DV99999,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200472109656330241,DV99999,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200472181353766912,imasoom4u,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200472458152697856,raylonquadros,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200472516923252736,Iam_DevdasAltaf,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200472837439381504,Swagata428,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200472892582051840,jojomano12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
1200472896155467776,realSantoshsoni,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200472960978575360,Raja_Africa,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
1200472964551987200,Manish_KSharma,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200472993568194560,BeenaPP1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200473032197734400,sengar_krishan,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200473055832596480,ReadingSpree,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
1200473135436500993,RumiSiddiqui,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
1200473181015986176,Abhijee36092643,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200473205888233472,jojomano12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
1200473367783997440,nitumalhotra2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
1200473678414090241,roo_ptp,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200473768960774144,kanha123,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
1200473895775752194,ShamalShingte,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200474159710720002,AbhikGhosh3,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200474170812846080,Shreyas_0909,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200474287024402433,Vish_Hyd,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200474372621754370,DV99999,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200474411582705666,rabiiik527,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
1200474426132709376,alister1967,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
1200474562615377920,siva_tweets1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200474566574764038,queerindia,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
1200474655842324481,jith1086,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200474753569456128,CreedHS,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200474813501980672,Cybergeek79,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200474823354249216,UrfatherVIKAS,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
1200474901016133632,sids27,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200475033790844928,kapilverma73,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
1200475083141070848,Santhosshetty13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
1200475224569008128,akchaudh,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
1200475231233568768,OppressedHindu,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200475265974951937,subhaash11gmail,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200475391007178752,ajaychat55,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1200475524054667264,nanditakhaire,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
